2022-11-19 00:53:51,655 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@7c4311f9[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:53:51,656 | INFO  | Shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@7c4311f9[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] is shutdown: true and terminated: false took: 10.024 seconds. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:53:51,656 | WARN  | Transport Connection to: ws://172.18.0.1:47618 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>20000) long: ws://172.18.0.1:47618 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2022-11-19 00:56:55,695 | INFO  | Waited 2.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:56:57,695 | INFO  | Waited 4.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:56:59,711 | INFO  | Waited 6.017 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:57:01,711 | INFO  | Waited 8.017 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:57:03,694 | INFO  | Waited 10.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:57:03,695 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due first await termination elapsed. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:57:03,696 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:57:03,696 | INFO  | Shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@a801ab[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] is shutdown: true and terminated: false took: 10.002 seconds. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:57:03,696 | WARN  | Transport Connection to: ws://172.18.0.1:47622 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>20000) long: ws://172.18.0.1:47622 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:47,652 | INFO  | Waited 2.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:49,653 | INFO  | Waited 4.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:51,654 | INFO  | Waited 6.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:53,654 | INFO  | Waited 8.002 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:55,652 | INFO  | Waited 10.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:55,652 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due first await termination elapsed. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:55,653 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:55,653 | INFO  | Shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@177fe37f[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] is shutdown: true and terminated: false took: 10.001 seconds. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 00:59:55,654 | WARN  | Transport Connection to: ws://172.18.0.1:47628 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>20000) long: ws://172.18.0.1:47628 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:39,691 | INFO  | Waited 2.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:41,692 | INFO  | Waited 4.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:43,693 | INFO  | Waited 6.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:45,694 | INFO  | Waited 8.003 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:47,692 | INFO  | Waited 10.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:47,692 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due first await termination elapsed. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:47,693 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:47,693 | INFO  | Shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@40e96aa0[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] is shutdown: true and terminated: false took: 10.002 seconds. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:02:47,693 | WARN  | Transport Connection to: ws://172.18.0.1:47632 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>20000) long: ws://172.18.0.1:47632 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:51,643 | INFO  | Waited 2.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:53,644 | INFO  | Waited 4.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:55,645 | INFO  | Waited 6.002 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:57,645 | INFO  | Waited 8.002 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:59,643 | INFO  | Waited 10.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:59,644 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due first await termination elapsed. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:59,644 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:59,645 | INFO  | Shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@680a5b60[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] is shutdown: true and terminated: false took: 10.002 seconds. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:05:59,645 | WARN  | Transport Connection to: ws://172.18.0.1:47654 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>20000) long: ws://172.18.0.1:47654 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:43,681 | INFO  | Waited 2.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:45,682 | INFO  | Waited 4.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:47,683 | INFO  | Waited 6.002 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:49,684 | INFO  | Waited 8.003 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:51,681 | INFO  | Waited 10.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:51,681 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due first await termination elapsed. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:51,682 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:51,682 | INFO  | Shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@2746d72[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] is shutdown: true and terminated: false took: 10.001 seconds. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:08:51,683 | WARN  | Transport Connection to: ws://172.18.0.1:47680 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>20000) long: ws://172.18.0.1:47680 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2022-11-19 01:11:55,646 | INFO  | Waited 2.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:11:57,646 | INFO  | Waited 4.001 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:11:59,647 | INFO  | Waited 6.002 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:12:01,648 | INFO  | Waited 8.002 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:12:03,645 | INFO  | Waited 10.000 seconds for ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] to terminate... | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:12:03,646 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due first await termination elapsed. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
2022-11-19 01:12:03,646 | WARN  | Forcing shutdown of ExecutorService: java.util.concurrent.ThreadPoolExecutor@41f2427a[Shutting down, pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0] due interrupted. | org.apache.activemq.util.ThreadPoolUtils | ActiveMQ InactivityMonitor Worker
